,Address,NumberOfBaths,NumberOfBeds,Price,SqFt,ZipCode
387,"1025 Basilwood Dr, Coppell, TX 75019",3.5,4.0,499000.0,3001.0,75019
388,"140 Maywood Cir, Coppell, TX 75019",4.5,5.0,759000.0,4047.0,75019
389,"219 Driftwood Dr, Coppell, TX 75019",2.5,4.0,539900.0,3210.0,75019
390,"539 Meadowview Ln, Coppell, TX 75019",3.0,4.0,399000.0,2842.0,75019
391,"118 Versailles Dr, Coppell, TX 75019",3.5,4.0,719000.0,4535.0,75019
392,"617 Swan Dr, Coppell, TX 75019",5.0,4.0,759000.0,4036.0,75019
393,"307 Spanish Moss Dr, Coppell, TX 75019",3.0,4.0,483900.0,2969.0,75019
394,"1359 Minnow Rd, Irving, TX 75063",4.5,4.0,659600.0,3499.0,75063
395,"648 Parkway Blvd, Coppell, TX 75019",2.0,3.0,285000.0,1377.0,75019
396,"824 Deforest Rd, Coppell, TX 75019",5.0,4.0,1200000.0,5904.0,75019
397,"417 Kaye St, Coppell, TX 75019",4.5,4.0,899100.0,3841.0,75019
398,"941 Pintail Ct, Coppell, TX 75019",2.0,3.0,370000.0,2033.0,75019
399,"840 Falcon Ln, Coppell, TX 75019",4.0,5.0,699000.0,4022.0,75019
400,"624 Raintree Cir, Coppell, TX 75019",2.5,3.0,345000.0,1741.0,75019
401,"962 Hummingbird Dr, Coppell, TX 75019",4.0,5.0,649600.0,3777.0,75019
402,"936 Fountain Head Ln, Coppell, TX 75019",3.5,4.0,529000.0,3530.0,75019
403,"339 Spanish Moss Dr, Coppell, TX 75019",2.5,4.0,585000.0,3367.0,75019
404,"163 Georgian Dr, Coppell, TX 75019",4.0,5.0,695000.0,3901.0,75019
405,"236 Glenwood Dr, Coppell, TX 75019",2.0,3.0,325000.0,1533.0,75019
406,"391 Graham Dr, Coppell, TX 75019",3.5,4.0,564000.0,3136.0,75019
407,"212 Heather Glen Dr, Coppell, TX 75019",2.0,3.0,320000.0,1650.0,75019
408,"129 Whispering Hills Dr, Coppell, TX 75019",2.5,3.0,420000.0,2237.0,75019
